		X                 	 Y 		              Z
-3.146408836425284E-03 -5.534726089371517E-03 1.331772545082595E-04
-3.139205389302322E-03 -5.534645507309795E-03 1.330416038839785E-04
-3.132004641598551E-03 -5.534555591490282E-03 1.329059475882408E-04
-3.124806573688280E-03 -5.534456361395779E-03 1.327702818716623E-04
-3.117611165964273E-03 -5.534347834975085E-03 1.326346030715355E-04
-3.110418398873330E-03 -5.534230028721481E-03 1.324989076081832E-04
-3.103228252944409E-03 -5.534102957744118E-03 1.323631919812564E-04
-3.096040708810647E-03 -5.533966635832711E-03 1.322274527660540E-04
-3.088855747226364E-03 -5.533821075515999E-03 1.320916866099398E-04
-3.081673349079947E-03 -5.533666288114412E-03 1.319558902288944E-04
-3.074493495403339E-03 -5.533502283787373E-03 1.318200604042341E-04
-3.067316167378726E-03 -5.533329071575707E-03 1.316841939795200E-04
-3.060141346342844E-03 -5.533146659439434E-03 1.315482878576601E-04
-3.052969013789313E-03 -5.532955054291350E-03 1.314123389982210E-04
-3.045799151369246E-03 -5.532754262026657E-03 1.312763444149365E-04
-3.038631740890348E-03 -5.532544287548858E-03 1.311403011734283E-04
-3.031466764314680E-03 -5.532325134792139E-03 1.310042063891280E-04
-3.024304203755179E-03 -5.532096806740335E-03 1.308680572254004E-04
-3.017144041471033E-03 -5.531859305442608E-03 1.307318508918759E-04
-3.009986259861960E-03 -5.531612632025835E-03 1.305955846429804E-04
-3.002830841461441E-03 -5.531356786703720E-03 1.304592557766881E-04
-2.995677768928940E-03 -5.531091768782526E-03 1.303228616334880E-04
-2.988527025041147E-03 -5.530817576663322E-03 1.301863995955879E-04
-2.981378592682292E-03 -5.530534207840524E-03 1.300498670863783E-04
-2.974232454833590E-03 -5.530241658896491E-03 1.299132615701680E-04
-2.967088594561921E-03 -5.529939925491843E-03 1.297765805522499E-04
-2.959946995007852E-03 -5.529629002351089E-03 1.296398215793115E-04
-2.952807639373212E-03 -5.529308883243126E-03 1.295029822402798E-04
-2.945670510908503E-03 -5.528979560955982E-03 1.293660601676342E-04
-2.938535592900401E-03 -5.528641027265300E-03 1.292290530392992E-04
-2.931402868659988E-03 -5.528293272895656E-03 1.290919585812048E-04
-2.924272321512206E-03 -5.527936287474049E-03 1.289547745706479E-04
-2.917143934787405E-03 -5.527570059474659E-03 1.288174988405860E-04
-2.910017691816047E-03 -5.527194576153849E-03 1.286801292850533E-04
-2.902893575927922E-03 -5.526809823474467E-03 1.285426638659041E-04
-2.895771570457562E-03 -5.526415786018412E-03 1.284051006211135E-04
-2.888651658757966E-03 -5.526012446886505E-03 1.282674376749166E-04
-2.881533824225312E-03 -5.525599787584747E-03 1.281296732500947E-04
-2.874418050337860E-03 -5.525177787896316E-03 1.279918056827770E-04
-2.867304320712988E-03 -5.524746425738915E-03 1.278538334401204E-04
-2.860192619187028E-03 -5.524305677007767E-03 1.277157551413018E-04
-2.853082929923360E-03 -5.523855515405198E-03 1.275775695822197E-04
-2.845975237555159E-03 -5.523395912258952E-03 1.274392757643368E-04
-2.838869527370336E-03 -5.522926836333186E-03 1.273008729280147E-04
-2.831765785543666E-03 -5.522448253635348E-03 1.271623605905456E-04
-2.824663999431651E-03 -5.521960127234053E-03 1.270237385890747E-04
-2.817564157926350E-03 -5.521462417089140E-03 1.268850071279561E-04
-2.810466251884330E-03 -5.520955079916521E-03 1.267461668301959E-04
-2.803370274632276E-03 -5.520438069105828E-03 1.266072187916336E-04
-2.796276222547283E-03 -5.519911334711995E-03 1.264681646359685E-04
-2.789184095706872E-03 -5.519374823548184E-03 1.263290065679193E-04
-2.782093898595572E-03 -5.518828479410594E-03 1.261897474208356E-04
-2.775005640843293E-03 -5.518272243465134E-03 1.260503906940188E-04
-2.767919337957688E-03 -5.517706054821487E-03 1.259109405742095E-04
-2.760835011999987E-03 -5.517129851311133E-03 1.257714019352488E-04
-2.753752692143369E-03 -5.516543570472359E-03 1.256317803100844E-04
-2.746672415046620E-03 -5.515947150726319E-03 1.254920818302387E-04
-2.739594224975509E-03 -5.515340532703968E-03 1.253523131298491E-04
-2.732518173611833E-03 -5.514723660653263E-03 1.252124812145151E-04
-2.725444319511406E-03 -5.514096483831115E-03 1.250725932992276E-04
-2.718372727221584E-03 -5.513458957782239E-03 1.249326566243348E-04
-2.711303466060695E-03 -5.512811045395942E-03 1.247926782586741E-04
-2.704236608670723E-03 -5.512152717632914E-03 1.246526649088957E-04
-2.697172229418166E-03 -5.511483953876868E-03 1.245126227455458E-04
-2.690110402769176E-03 -5.510804741878915E-03 1.243725572600954E-04
-2.683051201765960E-03 -5.510115077311111E-03 1.242324731632174E-04
-2.675994696705370E-03 -5.509414962990878E-03 1.240923743285343E-04
-2.668940954089719E-03 -5.508704407864255E-03 1.239522637810550E-04
-2.661890035886874E-03 -5.507983425846272E-03 1.238121437256846E-04
-2.654841999104568E-03 -5.507252034614261E-03 1.236720156084147E-04
-2.647796895655308E-03 -5.506510254437743E-03 1.235318802011969E-04
-2.640754772466136E-03 -5.505758107109819E-03 1.233917377010019E-04
